职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,city
数据开发,1.2万-1.8万,武汉-汉阳,3-5年,本科,"['Java', 'FLINKJAR', 'SparkSQL', 'FLINKSQL', 'SPRINGBOOT', '阿里云平台', '袋鼠云平台']",深圳市拓保软件有限公司,民营 ,1000-9999人 ,武汉
金融分析专员,8千-1.2万,武汉-江夏,1-3年,大专,"['企业研究', '技术面研究']",武汉承达信息咨询有限公司,其它 ,20-99人 ,武汉
算法工程师（数据）-东风悦享,2万-4万,武汉-江夏,1年以下,本科,"['Java', 'Python', 'SPSS']",东风汽车,国企 ,10000人以上 ,武汉
医美产品分析岗,4千-7千,武汉-汉阳,1-3年,本科,['医美'],九州通医药集团股份有限公司,上市公司 ,10000人以上 ,武汉
金融分析师,8千-1.5万,武汉-武昌,不限,本科,"['投行', '投资', 'IPO', '基金从业资格']",凤燊汇金(海南)私募基金管理有限公司,民营 ,20人以下 ,武汉
项目经理（数据调研方向）,6千-8千,武汉-江岸,1-3年,本科,"['市场研究', '用户分析', '市场信息收集', '全职', '聚类分析', '出差', '驾照']",成都松祥科技有限公司,民营 ,20-99人 ,武汉
分析师（期货）,7千-1.1万,武汉-武昌,3-5年,本科,"['投资分析', '量化分析', '风险分析', '技术面分析', '期货市场', '股票市场', '债券市场', '基金市场']",国金期货有限责任公司,上市公司 ,100-299人 ,武汉
大数据工程师,7千-1.4万,武汉-东西湖,3-5年,本科,"['ETL开发', '数据平台', 'Oracle']",北京卓信智恒数据科技股份有限公司,上市公司 ,100-299人 ,武汉
大数据开发工程师,1.2万-1.8万,武汉-江汉,1-3年,本科,"['Hadoop', 'Hive', 'Shell', 'Sqoop', 'MySQL', 'Oracle']",武汉悦之时光科技有限公司,民营 ,100-299人 ,武汉
软件分析实习生,50-100/天,武汉-洪山,无经验,本科,"['Java', '软件分析']",中科蓝智(武汉)科技有限公司,民营 ,20-99人 ,武汉
数据治理-岚图汽车,1万-2万,武汉,3-5年,本科,"['数据分析', '统计学', '销售业务数据']",东风汽车,国企 ,10000人以上 ,武汉
大数据开发工程师,1.2万-2.4万,武汉-硚口,5-10年,本科,"['大数据开发', 'Hadoop', 'Hive']",中百集团,国企 ,10000人以上 ,武汉
大数据开发工程师-南湖,1.4万-1.6万,武汉-洪山,5-10年,本科,"['大数据开发', 'MySQL', 'SQL', 'Linux', '架构设计']",京北方,民营 ,10000人以上 ,武汉
战略市场分析,1.5万-2.5万,武汉-江汉,3-5年,硕士,"['市场研究', '市场信息收集', '竞品分析', '全职', '多元统计分析', '调研报告输出', '政策研究', '定量研究', '定性研究']",万帮数字能源股份有限公司,民营 ,1000-9999人 ,武汉
商品力评价分析技术,1万-1.5万,武汉-江夏,3-5年,本科,"['商业数据分析', '运营数据分析', '风控数据分析', '行业分析', '销售数据分析', '财务数据分析', '金融数据分析', '舆情分析']",东风汽车,国企 ,10000人以上 ,武汉
大数据开发工程师（WH-驻场）,1.5万-1.8万,武汉-洪山,1-3年,本科,"['Hadoop', 'Oracle', 'MPP', 'PD', 'MaxCompute', 'ETL开发']",南京迈特望科技股份有限公司,股份制企业 ,1000-9999人 ,武汉
商业分析专家,1.5万-3万,武汉-蔡甸,5-10年,本科,[],兴盛优选,民营 ,10000人以上 ,武汉
数据开发工程师,1.5万-1.7万,武汉-武昌,3-5年,本科,"['ETL开发', '报表开发', 'Oracle', 'SQL Server']",深圳华云信息系统有限公司,民营 ,300-499人 ,武汉
网络威胁情报分析师-中级,1.5万-3万,武汉-洪山,3-5年,硕士,"['Python', 'C++', 'C语言']",中和易茂科技服务(北京)有限公司,民营 ,20-99人 ,武汉
大数据开发（武汉）,1.2万-2万,武汉-洪山,5-10年,本科,"['Java', 'Shell', 'Python', '数仓开发', '数据中台', 'Hadoop', 'Flink', 'Hive']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,武汉
临床数据管理员,5千-1万,武汉-江岸,1-3年,本科,"['ICH-GCP', '临床数据分析', '临床试验', '医药科研', 'CRO']",杭州伊柯夫科技有限公司,合资 ,20-99人 ,武汉
大数据工程师,1.5万-2.2万,武汉-江夏,1-3年,本科,['数据建模'],北京北信源软件股份有限公司武汉分公司,民营 ,100-299人 ,武汉
大数据开发工程师-鸿讯（现场面试）,9千-1.5万,武汉-江岸,5-10年,大专,"['Flink', 'Spark']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,武汉
工业大数据工程师,1.5万-3万,武汉-洪山,3-5年,本科,"['Hadoop', 'Spark', 'Hive', 'Storm', 'Flink', '数仓开发', 'Kafka', '数据平台']",开波特(武汉)人工智能有限公司,民营 ,20-99人 ,武汉
R语言数据工程师,1.2万-1.4万,武汉-江汉,1-3年,大专,['R语言'],北京金之盾信息技术有限公司,股份制企业 ,100-299人 ,武汉
大数据开发工程师,1万-1.5万,武汉-洪山,3-5年,本科,"['Hadoop', 'Flink', 'Spark']",赛意信息,上市公司 ,1000-9999人 ,武汉
高级金融分析师月入3W+高提成+高奖金+社保,2万-3万,武汉-江汉,不限,学历不限,[],湖北省闪捷商务咨询有限公司,银行 ,20-99人 ,武汉
大数据开发工程师,1.5万-2.5万,武汉,3-5年,本科,"['数据治理', '数据挖掘', '数仓开发', '数据建模']",高德红外,股份制企业 ,1000-9999人 ,武汉
调研分析师,5千-8千,武汉-东湖高新区,1-3年,大专,"['尽职调查', '竞争情报分析', '信用', '征信', '信用管理', '背景调查', '投资调查']",广州圆鸿康信息咨询有限公司,民营 ,20-99人 ,武汉
市场分析专员,6千-1.2万,武汉-东西湖,3-5年,本科,"['定量研究', '问卷调研', '用户画像', '眼动研究', '聚类分析', '竞品调研', '市场调研', '企业调研', '产品调研']",武汉昊诚锂电科技股份有限公司,股份制企业 ,500-999人 ,武汉
经济分析师3（第三方劳动合同）,4千-6千,武汉-江岸,不限,本科,['经济研究'],武汉市工程咨询部有限公司,国企 ,20-99人 ,武汉
自动驾驶大数据开发工程师-岚图汽车,1.5万-2.5万,武汉-汉阳,1-3年,本科,"['大数据开发', '架构设计', '数据仓库', '机器学习', '自动驾驶']",东风汽车,国企 ,10000人以上 ,武汉
金融分析师,1万-1.8万,武汉-江岸,3-5年,本科,['基本面研究'],武汉长江六屏投资管理有限公司,民营 ,20-99人 ,武汉
金融证券分析师,8千-1.5万,武汉,1年以下,学历不限,"['证券从业资格证', '股票市场', '投资分析', '证券投资咨询资格证', '直播讲师']",武汉风光未来信息咨询有限公司,其它 ,20-99人 ,武汉
证券分析师,1万-2万,武汉-武昌,不限,本科,"['股票市场', '债券市场']",湖北景辰证券投资咨询有限公司, ,20人以下 ,武汉
市场调研分析,1万-2万,武汉-武昌,不限,硕士,"['市场调研分析', '竞品分析', '供应商管理', '产品调研', '原料药', '化学药有机合成', '发酵', '制药']",北京安必奇生物科技有限公司,民营 ,500-999人 ,武汉
临床数据管理员,5千-1万,武汉-江岸,1-3年,本科,"['医学', 'GCP认证']",杭州伊柯夫科技有限公司,合资 ,20-99人 ,武汉
大数据研发经理/主管,1.2万-2万,武汉-洪山,3-5年,本科,"['数据挖掘', '数据建模', 'Python', 'Hadoop', 'Flink']",东湖高新集团,国企 ,1000-9999人 ,武汉
数据开发工程师,2万-4万,武汉-江夏,3-5年,本科,"['数据治理', '数据仓库', 'BI', 'Java', '数据库开发', 'MySQL', 'NoSQL']",深圳市猎优管理咨询有限公司,民营 ,20-99人 ,武汉
大数据开发工程师（泰康项目有班车）,1.2万-1.7万,武汉-洪山,3-5年,本科,"['报表开发', '数仓开发', '实时数仓', 'Hadoop', 'Oracle', 'MySQL']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,武汉
数据类业务项目经理,5千-1万,武汉,1-3年,本科,['咨询专员/助理'],湖北地宜土地房地产评估咨询有限公司,民营 ,100-299人 ,武汉
数据开发经理,2万-2.5万,武汉-武昌,1-3年,大专,"['Java', '数据治理', '数据挖掘', '报表开发', '数仓开发', '数据建模', '数据集市', '数据平台']",武汉蓓柔商贸有限公司,民营 ,100-299人 ,武汉
大数据开发（BI+java）武汉花山工作,1.2万-1.8万,武汉-洪山,5-10年,本科,"['Java', '数仓开发', 'ETL开发', '报表开发', 'Hadoop']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,武汉
数据库开发工程师（武汉）,1.5万-1.8万,武汉-东西湖,3-5年,本科,"['报表开发', 'Redis', 'SQL', 'linux', 'MySQL']",思特奇,上市公司 ,1000-9999人 ,武汉
市场洞察分析师(J10376),1.5万-2万,武汉-江汉,3-5年,本科,"['市场研究', '行业研究', '市场信息收集', '全职', '咨询顾问', '咨询经理/主管', '新能源']",万帮数字能源股份有限公司,民营 ,1000-9999人 ,武汉
数据开发/数据支撑（国家电网）,1.5万-2.2万,武汉-洪山,3-5年,本科,"['数据运维', '数仓开发', 'SQL Server', '电网']",厦门至恒融兴信息技术股份有限公司,民营 ,1000-9999人 ,武汉
临床数据管理DM,1万-1.5万,武汉-江汉,3-5年,本科,"['临床试验', '临床数据分析', 'DM']",武汉伯熙医药集团有限公司,民营 ,100-299人 ,武汉
大数据开发,1.3万-1.7万,武汉-洪山,3-5年,本科,"['数仓开发', '数据挖掘', 'Python', 'Java', 'Hadoop', 'Flink', 'Hive', 'Spark', 'Oracle', 'HBase']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,武汉
市场调研分析主管,1万-2万,武汉-硚口,3-5年,本科,"['市场研究', '用户调研', '咨询专员/助理']",武汉宇启思健康管理咨询有限公司, ,20-99人 ,武汉
市场调研分析主管,8千-1万,武汉-洪山,3-5年,大专,"['食品/饮料', '服装/纺织', '金融业', '品牌营运', '制药/医疗', '购物中心', '百货商场', '门店/店铺']",武汉拾柴健康科技有限公司,民营 ,20-99人 ,武汉
临床数据统计,1万-1.2万,武汉-江夏,1-3年,硕士,"['临床数据分析', '统计学相关专业', 'SPSS', 'SAS', 'R', 'Python']",武汉光谷中源药业有限公司,民营 ,20-99人 ,武汉
大数据工程师-讲师,1万-1.8万,武汉-洪山,3-5年,硕士,"['Java', '腾讯云平台', 'MySQL', 'Redis']",百里半(武汉)网络技术有限公司,股份制企业 ,500-999人 ,武汉
大数据开发工程师,1.5万-3万,武汉-江夏,不限,本科,"['数据治理', '数据挖掘', 'Java', 'Python', 'Scala', 'Shell', 'Flink', 'Hadoop']",外企德科,合资 ,1000-9999人 ,武汉
简单轻松不加班数据调研专员,4千-7千,武汉-蔡甸,不限,中专/中技,['全职'],湖北前包人力资源集团有限公司,民营 ,500-999人 ,武汉
数据开发工程师（中级）,1万-1.5万,武汉-武昌,3-5年,大专,"['Java', 'SPRING CLOUD', 'NACOS\\EDAS', 'MySQL', 'Kafka', 'Flink', 'Spark', 'Hive', 'Hadoop']",深圳硕心企业管理顾问有限公司,民营 ,20-99人 ,武汉
数据治理工程师,1.5万-3万,武汉-蔡甸,3-5年,本科,"['数据治理', '需求分析']",智联猎头,其它 ,1000-9999人 ,武汉
大数据开发,1.5万-2万,武汉-汉阳,3-5年,大专,"['Java', 'Flink', 'Spark']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 ,武汉
数据开发,1.5万-3万,武汉-江夏,不限,本科,"['Java', 'Python', 'Hadoop', 'Hive', 'ETL开发', '数仓开发', '报表开发', '数据治理']",外企德科,合资 ,1000-9999人 ,武汉
车联网大数据工程师,1.5万-3万,武汉-蔡甸,3-5年,本科,"['数据库', '运维', '数据库架构', '架构设计', 'Python']",智联猎头,其它 ,1000-9999人 ,武汉
大数据开发【flink方向】,1.2万-2万,武汉-汉阳,3-5年,大专,"['Java', 'Flink']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 ,武汉
大数据开发工程师,1.6万-3万,武汉-江夏,3-5年,本科,"['Java', 'Python', 'Shell', 'WEB', 'JS']",外企德科,合资 ,1000-9999人 ,武汉
耐久仿真分析工程师,1.5万-3万,武汉-蔡甸,3-5年,本科,"['市场数据分析', '运营数据分析']",智联猎头,其它 ,1000-9999人 ,武汉
销售支持专员（湖北）,6千-1万,武汉-武昌,3-5年,本科,"['新能源', '销售行政支持', '销售数据支持', '家具/家居/家电']",阳光新能源开发股份有限公司,民营 ,1000-9999人 ,武汉
统计专员 双休,5千-6千,武汉-洪山,不限,大专,['R语言'],上海佩琪信息技术有限公司武汉分公司,民营 ,500-999人 ,武汉
数据中台开发工程师,1.5万-3万,武汉-蔡甸,3-5年,本科,"['ETL', '数据处理']",智联猎头,其它 ,1000-9999人 ,武汉
业务管理岗,6千-9千,武汉-汉阳,1-3年,大专,[],九州通医药集团股份有限公司,上市公司 ,10000人以上 ,武汉
数学建模（欢迎应届生）,4千-6千,武汉-洪山,不限,本科,"['C++', 'C#']",深圳市天软科技开发有限公司,民营 ,100-299人 ,武汉
大数据开发经理,1.5万-3万,武汉-蔡甸,3-5年,本科,"['大数据开发', 'ETL', '数据处理']",智联猎头,其它 ,1000-9999人 ,武汉
实习生（物联网工程，人工智能，计算机）,4千-7千,武汉-江夏,无经验,大专,"['应届生', '包住', '实习生', '双休', '助理', '文员']",广州思毅文化传媒有限公司,股份制企业 ,100-299人 ,武汉
业务支持岗,5千-7千,武汉-汉阳,3-5年,本科,[],九州通医药集团股份有限公司,上市公司 ,10000人以上 ,武汉
大数据开发（大数据开发方向）,1.5万-3万,武汉-蔡甸,3-5年,本科,"['大数据开发', '数据处理']",智联猎头,其它 ,1000-9999人 ,武汉
信息员,4千-6千,武汉-东西湖,1-3年,大专,['汽车行业'],中升集团,上市公司 ,10000人以上 ,武汉
区域支持-岚图汽车,7千-1.2万,武汉,3-5年,本科,['数据采集'],东风汽车,国企 ,10000人以上 ,武汉
大数据开发经理,1.5万-3万,武汉-蔡甸,5-10年,本科,"['Java', 'Spark', 'HIVE']",智联猎头,其它 ,1000-9999人 ,武汉
商品专员,5千-9千,武汉-黄陂,3-5年,大专,['商品管理'],武汉乔万成商贸有限公司,其它 ,300-499人 ,武汉
BI工程师,8千-1.6万,武汉-硚口,1-3年,大专,"['BI', '数据仓库', '模型设计', 'ETL']",中百集团,国企 ,10000人以上 ,武汉
兼职-神秘顾客,4千-6千元/月,武汉-洪山,不限,学历不限,"['工资高', '时间灵活', '临时', '兼职']",武汉大视野市场研究咨询有限公司,民营 ,20-99人 ,武汉
商品专员,6千-1.2万,武汉-江岸,1-3年,学历不限,['批发/零售'],浙江大东鞋业有限公司,民营 ,10000人以上 ,武汉
BI工程师,1.3万-1.9万,武汉-洪山,不限,本科,"['报表开发', '数据仓库', 'DataStage', 'Kettle', 'DataX', 'Oracle', 'PostgreSQL', 'HANA']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,武汉
数学类 英文学术期刊助理编辑（光谷）,1.1万-1.6万,武汉-洪山,不限,硕士,"['数学类专业', '数据分析']",曼迪匹艾（武汉）科技服务有限公司,其它 ,1000-9999人 ,武汉
经济研究员,1万-1.5万,武汉-武昌,不限,硕士,"['经济研究', '政策研究', '农/林/牧/渔', '制造业']",中东化肥,股份制企业 ,1000-9999人 ,武汉
bi工程师,1.2万-1.5万,武汉-洪山,3-5年,本科,"['数据仓库', '报表开发', '数据治理', 'DataStage', 'Oracle']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,武汉
