职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,city
大数据开发工程师,1.5万-3万,成都-郫都,不限,本科,"['数据治理', '数据挖掘', 'Java', 'Python', 'Scala', 'Shell', 'Flink', 'Hadoop']",外企德科,合资 ,1000-9999人 ,成都
大数据研究员【地下市政相关项目】,1万-1.8万,成都-武侯,不限,硕士,"['arcgis', '地下市政', '地下管线']",成都佳伊聘科技有限公司,民营 ,20-99人 ,成都
证券媒体分析师,2万-4万,成都-金牛,3-5年,本科,"['投资分析', '股票市场', '证券投资咨询资格证', '证券分析师资格证']",四川大决策证券投资顾问有限公司,民营 ,300-499人 ,成都
数据开发工程师,1万-1.8万,成都-武侯,1-3年,大专,"['数据建模', '数仓开发', 'ETL开发', '报表开发']",四川恒思亿信息技术有限公司, ,20-99人 ,成都
大数据研究员（住建）,8千-1.4万,成都-武侯,1-3年,本科,['产品体系研究'],成都佳伊聘科技有限公司,民营 ,20-99人 ,成都
销售数据内勤,5千-6千,成都-锦江,1-3年,大专,['数据分析'],正德人力资源股份有限公司,民营 ,10000人以上 ,成都
大数据研究员（农业方向/应急方向）,1.8万-3万,成都-武侯,不限,硕士,"['行业分析', '政府关系']",锐仕方达人才科技集团有限公司,股份制企业 ,1000-9999人 ,成都
大数据研究（应急）,1万-1.4万,成都-武侯,不限,硕士,"['Stata', 'SPSS', 'R语言', 'arcgis', '数据研究', '应急项目', '自然灾害']",成都佳伊聘科技有限公司,民营 ,20-99人 ,成都
大数据研究员（应急数据应用）,8千-1.5万,成都-武侯,1-3年,硕士,"['arcgis', '自然灾害相关的调研项目']",外企德科,合资 ,1000-9999人 ,成都
大数据运维开发工程师,1万-1.2万,成都-锦江,3-5年,大专,"['Java', 'MySQL', '数据库', '金融', '运维开发']",法本信息,上市公司 ,1000-9999人 ,成都
大数据研究员（统计方向/土壤方向 需出差）,1万-1.8万,成都-武侯,不限,硕士,"['SPSS', 'arcgis', 'CAD']",成都佳伊聘科技有限公司,民营 ,20-99人 ,成都
大数据研究员 应急气象方面,1.5万-1.8万,成都-武侯,1-3年,硕士,"['SPSS', 'R语言', 'Stata', 'arcgis', '灾害学', '应急管理', '自然资源学', '自然地理学', '地理信息系统']",湖北挚才人力资源有限公司,民营 ,100-299人 ,成都
数据开发工程师,1.8万-3.5万,成都-郫都,不限,本科,"['数据挖掘', '数仓开发', 'Python', 'Shell', 'Java', 'Scala', 'Hadoop', 'Hive']",外企德科,合资 ,1000-9999人 ,成都
大数据研究员（土壤）,8千-1.5万,成都-武侯,1-3年,硕士,['数据分析'],成都佳伊聘科技有限公司,民营 ,20-99人 ,成都
（w）经济数据调查项目经理 全国出差包住，政府项目,6千-8千,成都-武侯,不限,本科,"['企业调研', '市场信息收集', '全职']",锐仕方达人才科技集团有限公司,股份制企业 ,1000-9999人 ,成都
大数据开发（外企+双休+不加班）,1.5万-1.6万,成都-武侯,5-10年,本科,"['Hadoop', 'Yarn', 'Hive', 'Kafka', 'Spark', 'SQL Server', 'Oracle', 'Redis', 'MongoDB', '英语', '大数据开发']",纬创软件,港澳台公司 ,1000-9999人 ,成都
大数据研究员（土壤）,1万-2万,成都-武侯,1-3年,硕士,"['数据研究分析', '土地、土壤类专业']",成都佳伊聘科技有限公司,民营 ,20-99人 ,成都
