岗位名称,薪资,工作地点,工作经验,学历要求,企业,岗位需求,公司类型,岗位需求人数,企业服务
上二休一6K地铁值机安检可就近,6千-7千,武汉·东西湖·将军路,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
运营专员,4千-8千,武汉·洪山·关山,经验不限,学历不限,辰熙国际教育科技(武汉)有限公司,"社群运营, 用户运营",民营,20-99人,在线教育
工业外贸跟单员,4千-6千,武汉·新洲·阳逻,1-3年,学历不限,苏培(武汉)智能科技有限公司,"外贸跟单, 英语",民营,20-99人,人工智能
月8k坐岗地铁自由地勤,6千-7千,武汉·青山·钢都花园,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
招车工-月入6000,4千-6千,武汉·郑店,3-5年,中专/中技,武汉中精科技有限公司,"数控加工, 车床操作, CNC",民营,100-299人,专用设备制造
TOB销售，面销需要出差（无责底薪6000）,1.1万-1.6万,武汉·江汉,经验不限,大专,武汉鼎森电子科技有限公司,"面销/陌拜, 区域销售, 代理商销售",民营,100-299人,互联网
7k武汉地勤/管吃住/当天入职上岗快,6千-7千,武汉·洪山·和平,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
网络销售人员,1万-2万元/月,武汉·洪山·张家湾,无经验,初中及以下,武汉市商谷云创信息技术有限公司,"个人客户, 企业客户, 院校客户, 民营, 20-99人",人工智能,个人客户,人工智能
销售代表,6千-8千,武汉·武昌·徐家棚街,1-3年,大专,武汉中昊空间科技有限公司,,软件行业,人工智能,计算机软件
240/天武汉包吃住地勤,6千-7千,武汉·汉阳·龙阳,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
销售内勤（双休|不加班|寒暑假）,5千-8千,武汉·关山,1-3年,大专,武汉度因科技有限公司,"电话约访, 销售管理, 院校客户",民营,20-99人,仪器仪表制造
努力工作+拒绝摆烂+高薪班主任,7千-1.4万,武汉·洪山·关山,经验不限,大专,核桃编程,"少儿编程, 用户运营, 社群管理, 社群营销, 推广运营",民营,1000-9999人,计算机软件
7k武汉地铁执机地勤（包吃住）,6千-7千,武汉·黄陂·天河,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
销售顾问（双休|不加班|寒暑假）,6千-1.2万,武汉·关山,1-3年,大专,武汉度因科技有限公司,,院校客户,人工智能,仪器仪表制造
数据标注\车辆驾驶,5千-7千,武汉·蔡甸·沌口,1-3年,大专,广州欢创信息咨询有限公司,"视频标注, 文本标注, 图像标注, 五险一金",民营,100-299人,人力资源服务
武汉月7k坐岗地铁轻松营业员有吃住,6千-7千,武汉·黄陂·盘龙经开区,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
网络销售,1万-2万元/月,武汉·洪山·张家湾,无经验,学历不限,武汉市商谷云创信息技术有限公司,"个人客户, 企业客户, 院校客户, 民营, 20-99人",人工智能,个人客户,人工智能
接受小白＋免费培训＋包餐（素质教育老师）,9千-1.8万,武汉·洪山·关山,经验不限,大专,核桃编程,"小学, 初中, 在线教育, 有销售经验, 大型教育机构经验",民营,1000-9999人,计算机软件
月7k坐岗地铁轻松地勤包吃住,6千-7千,武汉·江岸,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
招CNC/数控操作-月入6000,4千-6千,武汉·江夏·郑店,3-5年,中专/中技,武汉中精科技有限公司,,民营,100-299人,专用设备制造
前台行政（5千--6千）,5千-6千,武汉·江汉·万松街,1-3年,大专,武汉纪尼西科技有限公司,"普通话标准, 英语可作为工作语言, 正常班",民营,100-299人,消费电子产品
武汉7k地铁地勤人员/可就近安排,6千-7千,武汉·青山·红卫路,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
销售经理,8千-1.5万,武汉·洪山·关山,经验不限,学历不限,湖北仁翰科技有限公司,企业客户,电话销售,个人客户,人工智能
班主任（能睡懒觉+自助晚餐+企业滴滴+六险一金),7千-1.4万,武汉·洪山·关山,经验不限,大专,核桃编程,"互联网行业, 教育培训",民营,1000-9999人,计算机软件
月7k坐岗地铁站点服务员,6千-7千,武汉·青山·青山镇,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
元宇宙大模型销售（政企方向）,8千-1.3万,武汉·江汉·汉兴街,经验不限,大专,武汉鼎森电子科技有限公司,"面销/陌拜, 区域销售, 代理商销售",民营,100-299人,互联网
销售工程师,5千-7千,武汉·江汉,1-3年,大专,深圳合悦医疗科技有限公司,"KA大客户, 医疗机构, 院校客户, 区域销售, 面销/陌拜, ",民营,20-99人,医疗设备/器械
武汉月7k坐岗地铁轻松营业员有吃住,6千-7千,武汉·青山·钢都花园,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
应届实习生（薪水5000+包住）,6千-8千,武汉·江汉·万松街,经验不限,大专,武汉纪尼西科技有限公司,"政府客户, 企业客户, 院校客户, 网络销售, 地推销售, ",民营,100-299人,消费电子产品
AI智能销售顾问,8千-1.5万,武汉·洪山·关山,1-3年,学历不限,武汉新鲜人人力资源有限公司,面销/陌拜,民营,100-299人,人力资源服务
月6000坐岗收银有吃住,6千-7千,武汉·洪山·梨园,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
销售经理,6千-8千,武汉·花山,1-3年,大专,武汉天眸光电科技有限公司,"人工智能, 软件行业, 电子/半导体, 民营, 20-99人",人工智能,人工智能,人工智能
招钳工-月入8000,6千-8千,武汉·洪山·左岭,3-5年,学历不限,无锡世通智能装备集团有限公司,初级钳工证,民营,100-299人,通用设备制造
250/天轻松自由地铁地勤,6千-7千,武汉·武昌,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
销售助理（无销售任务|双休|不加班）,5千-8千,武汉·洪山·关山,1-3年,大专,武汉度因科技有限公司,,仪器仪表,人工智能,仪器仪表制造
睡觉睡到自然醒-课程顾问,6千-1.2万,武汉·洪山·关山,经验不限,高中,武汉梓承网络科技有限公司,电话销售,民营,20-99人,人工智能
250/天地铁站点地勤有社保,6千-7千,武汉·汉阳·龙阳,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
数据标注员（3D点云方向）,6千-7千,武汉·蔡甸·沌口,1-3年,大专,西安欢派信息咨询有限公司,"图像标注, 视频标注",民营,500-999人,电子商务
招CNC/数控操作-月入6000,4千-6千,武汉·江夏·郑店,经验不限,中专/中技,武汉中精科技有限公司,,民营,100-299人,专用设备制造
250/k坐岗地铁轻松服务员包吃住,6千-7千,武汉·黄陂·天河,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
渠道销售,5千-1万,武汉·硚口·汉中,1-3年,大专,湖北臣博视人工智能科技有限公司,"代理商/经销商, 面销/陌拜, 地推销售",民营,20-99人,医疗设备/器械
线上小学班主任 8-15K,8千-1.5万,武汉·洪山·关山,经验不限,大专,石家庄经科教育科技有限公司,"小学教育, 网络销售, 电话销售, 在线教育平台, 培训机构, , , , , ",民营,1000-9999人,企业服务
武汉月7k坐岗地铁轻松营业员有吃住,6千-7千,武汉·青山·红卫路,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
邀约客服（5000+|双休|不加班）,5千-8千,武汉·洪山·卓刀泉,1-3年,大专,武汉度因科技有限公司,无销售性质,民营,20-99人,仪器仪表制造
销售经理（无责底薪6000）,1.1万-1.6万,武汉·江汉·汉兴街,经验不限,大专,武汉鼎森电子科技有限公司,"面销/陌拜, 区域销售, 代理商销售",民营,100-299人,互联网
7k武汉坐岗地铁轻松地勤（包吃住）,6千-7千,武汉·青山·钢都花园,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
软件销售,1.3万-1.4万,武汉·洪山·关山,经验不限,学历不限,武汉谦问智能科技有限公司,"面销/陌拜, 电话销售, 网销, 电子信息服务",其它,20-99人,人工智能
课程顾问,8千-1.4万,武汉·洪山·关山,经验不限,大专,核桃编程,"电话销售, 节日福利, 六险一金, 带薪培训, 交通补贴",民营,1000-9999人,计算机软件
7k地铁站服务员/有吃住/五险,6千-7千,武汉·武昌,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
业务管培生（无责+包住）,1万-2万,武汉·洪山·洪山街道,经验不限,大专,武汉定诺科技有限公司,"市场营销方向, 销售方向, 业务管理, 市场管理方向, ",民营,20-99人,人工智能
事业部总经理,2.2万-4万,武汉·中南路街,经验不限,大专,湖北通朗电器有限公司,"房地产, 物业服务",互联网金融,人工智能,零售/批发
240/天武汉室内地勤工作有吃住,6千-7千,武汉·江岸,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
销售助理（湖北）,5千-8千·13薪,武汉·武昌·徐家棚街,经验不限,本科,南京听说科技有限公司,"销售管理, 销售, 销售助理, 出差, 外勤管理",民营,100-299人,计算机软件
海外市场专员 13薪 反内卷,6千-1.2万·13薪,武汉·江岸,经验不限,大专,深圳奇澳人工智能科技有限公司,"北美, 欧洲, B端客户, 服务",民营,20-99人,人工智能
电话销售/双休/武汉客厅,6千-1.2万,武汉·东西湖·将军路,1-3年,学历不限,深圳市博亿鑫电子商务有限公司武汉分公司,3c电子产品,通信/网络设备,人工智能,电子商务
办公助理文员,3千-5千,武汉·新洲·阳逻,无经验,本科,苏培(武汉)智能科技有限公司,"文员, 普通话标准",民营,20-99人,人工智能
设备维护员,5千-7千,武汉·江夏·佛祖岭,1-3年,中专/中技,河南优合信息科技有限公司,设备维护,民营,300-499人,人工智能
企业咨询顾问,6千-9千,武汉·东西湖·将军路,经验不限,大专,武汉市心智力教育科技有限公司,"B端客户, 大客户（KA）, 电销经验, 面销经验",民营,20人以下,企业服务
招聘钳工,5千-7千,武汉·江夏·郑店,1-3年,中专/中技,武汉中精科技有限公司,"机械安装维修, 车床操作, 钳工, 机加, 普工, 焊接, 安装调试, ",民营,100-299人,专用设备制造
课程顾问（下午班/包餐/六险一金）,8千-1.5万,武汉·洪山·关山,经验不限,大专,核桃编程,"小学教育, 电话销售, 网络销售, 在线教育平台, 五险一金, , , , ",民营,1000-9999人,计算机软件
信息化维护专员,3千-4千,武汉·洪山·珞南,经验不限,大专,武汉青叶教育服务有限公司,Windows,云计算/大数据,人工智能,云计算/大数据
接受无经验！！无责底薪可高达8k AI软件销售,1.5万-3万,武汉·江夏·关东,经验不限,大专,探迹科技,"KA大客户, 企业客户, 面销/陌拜, 电话销售, 网络销售, , , ",民营,1000-9999人,互联网
销售助理（客户培训 | 方案工程师）,6千-1万,武汉·洪山·关山,3-5年,大专,武汉度因科技有限公司,"面销/陌拜, 电话销售, 院校客户",民营,20-99人,仪器仪表制造
数据标注/AI训练师,4千-5千,武汉·洪山·九峰,1-3年,大专,软通动力信息技术(集团)股份有限公司,"图像标注, 语音标注, 音频标注, 视频标注",民营,10000人以上,互联网
AI软件销售（高提成双休月入1-3w),1.3万-1.5万,武汉·江夏·关东,经验不限,大专,探迹科技,"企业客户, 电话销售",民营,1000-9999人,互联网
高薪产品顾问,8千-1.5万·13薪,武汉·洪山·关山,经验不限,高中,武汉梓承网络科技有限公司,"电话销售, 门店销售",民营,20-99人,人工智能
tob大客户销售代表,7千-1.4万,武汉·东西湖·将军路,经验不限,本科,武汉市心智力教育科技有限公司,"电话销售, 会议/会展销售, 培训机构, 节日福利, 带薪培训, , , , , , , , , ",民营,20人以下,企业服务
B端销售顾问（独角兽企业/高提成),1.5万-2.5万,武汉·江夏·关东,经验不限,大专,探迹科技,,企业客户,个人客户,互联网
